# easy-radio-host 在线精选歌单 (华语)
# 每行: 歌名<TAB>歌手  （DeepSeek 选歌标题池 + 在线搜索关键词）
# 尽量选原唱，避免翻唱/深情版。

晴天	周杰伦
七里香	周杰伦
稻香	周杰伦
安静	周杰伦
简单爱	周杰伦
告白气球	周杰伦
夜曲	周杰伦
青花瓷	周杰伦
东风破	周杰伦
发如雪	周杰伦
菊花台	周杰伦
说好不哭	周杰伦
等你下课	周杰伦
后来	刘若英
为爱痴狂	刘若英
成全	林宥嘉
说谎	林宥嘉
小幸运	田馥甄
演员	薛之谦
丑八怪	薛之谦
认真的雪	薛之谦
年少有为	李荣浩
老街	李荣浩
不将就	李荣浩
平凡之路	朴树
那些花儿	朴树
白桦林	朴树
南山南	马頔
成都	赵雷
南方姑娘	赵雷
理想	赵雷
画	赵雷
少年锦时	赵雷
鼓楼	赵雷
奇妙能力歌	陈粒
小半	陈粒
光	陈粒
一万次悲伤	逃跑计划
夜空中最亮的星	逃跑计划
海阔天空	Beyond
光辉岁月	Beyond
真的爱你	Beyond
喜欢你	Beyond
不再犹豫	Beyond
一生所爱	卢冠廷
起风了	买辣椒也用券
错位时空	艾辰
你的答案	阿冗
孤勇者	陈奕迅
富士山下	陈奕迅
浮夸	陈奕迅
十年	陈奕迅
好久不见	陈奕迅
稳稳的幸福	陈奕迅
岁月神偷	金玟岐
同桌的你	老狼
恋曲1990	罗大佑
童年	罗大佑
光阴的故事	罗大佑
信仰	张信哲
过火	张信哲
爱如潮水	张信哲
红豆	王菲
匆匆那年	王菲
传奇	王菲
贝加尔湖畔	李健
风吹麦浪	李健
曾经的你	许巍
蓝莲花	许巍
故乡	许巍
突然的自我	伍佰
挪威的森林	伍佰
浪人情歌	伍佰
